gene,barcode
Aatk,..BBGG..........YY..BB..........
Abl1,..GGBB......YY..........GG......
Abl2,............YY....GGYY......BB..
Acacb,................GGRR..GG....YY..
Ace,....YY........GG........GG....BB
Ackr1,....YY....BB....RR............BB
Ackr3,RR....RR..........YY....GG......
Ackr4,..BBBB....RR..............GG....
Acta2,................RRBB....GGBB....
Actg2,....YY....YYGG................GG
Acvr1,GG..............GG..........RRBB
Acvr1b,..........BB..RRGGYY............
Acvr2a,..................GGYYGG......RR
Acvrl1,BB........GG....YY........YY....
Adgra2,..BB..BB..............RR..GG....
Adgra3,..YY..RR..........GG....YY......
Adgre5,........YYBB......YY........YY..
Adgrf1,....YYRR........YY........GG....
Adgrf3,RR....................RR....YYGG
Adgrf5,..BBBB............GG..........GG
Adgrg1,....BB........RR..GG....YY......
Adgrg3,..GG....BB........GG....GG......
Adgrg5,..BBBB..........RR..........YY..
Adgrg6,....BBBBYY............RR........
Adgrl1,RR....BB............GG....GG....
Adgrl2,RR....BBBB..................BB..
Adgrl4,....GG....RR..........YY....YY..
Adgrv1,......BB..RR....YY..........RR..
Adipoq,..BB..GG................RRRR....
Adm2,..YYBBBB..........BB............
Agr2,............YY..........RRGG..BB
Ahi1,RR..BB................GG......RR
Ahr,..............YY....GG....GG..RR
Aif1,....BB....GGRR..........YY......
Akt1,..................YY..BB....YYRR
Alcam,..........YY....YYRR..........BB
Angpt1,..RR..........BB..........BBGG..
Angpt2,GG....GGGG..........YY..........
Angptl1,..............GG..BBGGRR........
Ankrd1,........YYGG..........YY......GG
Ankrd42,..YY..RR........BB..........RR..
Anxa1,................GG....BB..YYGG..
Anxa2,......RR..BB......RR..........RR
Anxa4,GG....GG........YY....BB........
Apc,................GG..RR..RR....YY
Apoa1,......RR................YYYYGG..
Apoc1,..........YYGG............GGYY..
Apod,YY..GG....BBRR..................
Apoe,BB......RR....BB..BB............
App,..........YY..RR......YY..BB....
Aqp3,......GGRRGG........BB..........
Ar,..GGBB..BB......GG..............
Areg,YY........YY....BBBB............
Arf1,....RRYY..RR....GG..............
Arg1,YYGG..........GG......YY........
Arhgdib,..BB............BB......RR....GG
Arid5b,RRGG..................BB......BB
Atf3,....YY....YY............YYRR....
Atg12,........GGBB..............RR..YY
Atg5,............BB....BB......GG..YY
Atm,......BBYY....GG........GG......
Atp5e,......GG..........RR..BB....GG..
Atr,..........BBGG..........YY....BB
Axl,..BB........YY......BB........YY
Azgp1,....GG........BB..........YYYY..
B2m,..........YY....BB......GG..YY..
Bag3,......YYBB......RR........YY....
Bax,....RR..RRGG..........GG........
Bbln,RRYY..............YY..RR........
Bcl2,YY........RR....GG............RR
Bcl2l1,..........YYBB........YYYY......
Becn1,....BB............GGRR......RR..
Best1,..........RR..RR....YY....YY....
Bgn,....GG..............BBBBGG......
Bid,..RR..........BBYY............RR
Birc5,........RR....GG..YY........BB..
Blk,....GGBB..GGBB..................
Bmp1,BB....................YY....GGRR
Bmp2,....RR..........GG..GGRR........
Bmp3,......BB......GG......YY..YY....
Bmp4,BB......BB....GG..............BB
Bmp5,............GGYYRR......RR......
Bmp7,................BBRRBB........RR
Bmpr1a,............YY..BBGG....RR......
Bmpr2,............BB..GG........RR..GG
Brca1,............GG..GG......GGYY....
Bst1,........YY......YY..BB......GG..
Bst2,........BBYY..GG........BB......
Btf3,........YYYY......GG....YY......
Btg1,RR....YYGG....GG................
Btk,GGBB................RR........RR
C1qa,YY......GG........YY....BB......
C1qb,..........GGGG....BB......RR....
C1qc,..........YY............YY..GGRR
C5ar2,....BBRR........RR..GG..........
Cacna1c,....GG....BB....BBRR............
Calb1,YY........RR..YY........RR......
Cald1,....GG..GG....GG..........RR....
Calm1,GG..BB..BBRR....................
Calm2,......BB......GG..YYRR..........
Calm3,..YY....BBYY..................YY
Camp,..YY................BBRR......RR
Carmn,..YY............RRYY..........GG
Casp3,....RR....GG........YY....GG....
Casp8,..........YY..GG..RR........GG..
Casr,....GG..........BB......BBRR....
Cav1,....GG..GG..RR........BB........
Ccl11,..GG..GGGG....................YY
Ccl19,..................GG......BBRRGG
Ccl2,YY................GG....GG....GG
Ccl20,........BB......GG....GG..GG....
Ccl21a/b/d,....................YYYY..RRBB..
Ccl26,......BB......YY............YYGG
Ccl28,..RR......BB......RR....RR......
Ccl3,....RR....RR..BB..........BB....
Ccl4,......GG............GGBB..YY....
Ccl5,....GG..RR......RR....RR........
Ccl8,..YY........GG............YY..RR
Ccl9,....RR......YYGG....YY..........
Ccnd1,....BB......GG..RR....BB........
Ccr1,............YYRRBB........RR....
Ccr10,..RRBB..............YYYY........
Ccr2,..YY....RR......BB....GG........
Ccr5,....................YY..YYRR..RR
Ccr7,YY......BB..RR..........YY......
Ccrl2,....GG........BBGG......GG......
Cd14,YY....YY..YY..BB................
Cd163,..BB....BB..................RRRR
Cd164,......YY..............BB..RR..YY
Cd19,RR........RR..........BBGG......
Cd2,....RR......GG....YYRR..........
Cd200r3,....RR....RR......GG........GG..
Cd209a,YY..GG....................YY..RR
Cd209e,................BB..GGGG....RR..
Cd244a,........YY......RRGGGG..........
Cd24a,..YYBB....GG..RR................
Cd27,..........YYRRGG..........RR....
Cd274,........YY..BB..BB..........BB..
Cd276,..................RRGGGGBB......
Cd28,..GGYY....GG............RR......
Cd300a,....YYRRRR..............GG......
Cd33,..YYRR..........RR....YY........
Cd34,GG........RRRR......YY..........
Cd36,......YY......YY....RR........BB
Cd37,..........RR....BB....BB..BB....
Cd38,RR............BB....YY........BB
Cd3d,..BBGG..RRYY....................
Cd3e,......................GG..YYRRRR
Cd3g,....YY..RRBB........GG..........
Cd4,........YY..YY....BB......BB....
Cd40,........GG....RR..RR..GG........
Cd40lg,................GGBB..YY......BB
Cd44,......................BBGG..BBGG
Cd47,......GGBBYY..........RR........
Cd48,RR..GG........GG....GG..........
Cd52,....BB....BB........RR..RR......
Cd53,......GG..YY..RRRR..............
Cd55,....BBYY..........YY......GG....
Cd59a,........GG....BBBB............BB
Cd5l,..GG....YY........YYRR..........
Cd6,............YY........GG..RRGG..
Cd63,..........YY..BB........RR..RR..
Cd68,......YY....BB..........BB....BB
Cd69,............GGBB..YY..........GG
Cd70,......BB..RR......BB......GG....
Cd74,..............RRYYGG......YY....
Cd79a,....RR..........YY....BB......GG
Cd80,......BBYY..RR....RR............
Cd81,....YY......RR..........GG..YY..
Cd83,..RR....YYYY........YY..........
Cd84,........GG....GG....YY........YY
Cd86,RR......GGBBYY..................
Cd8a,..........GGGGRR..............YY
Cd8b1,YYYY..BB......RR................
