slice,section_type,metric,n_cells,p01,q25,median,q75,p99
1,tumor,nCount_RNA,140615,6.0,52.0,145.0,264.0,923.0
2,tumor,nCount_RNA,137669,6.0,63.0,144.0,251.0,892.0
3,healthy,nCount_RNA,69007,7.0,59.0,123.0,204.0,587.0
4,healthy,nCount_RNA,76631,5.0,19.0,61.0,151.0,509.0
5,tumor,nCount_RNA,221554,6.0,81.0,175.0,300.0,821.0
6,tumor,nCount_RNA,280842,7.0,105.0,206.0,338.0,871.0
1,tumor,nFeature_RNA,140615,5.0,39.0,100.0,171.0,425.0
2,tumor,nFeature_RNA,137669,5.0,45.0,99.0,164.0,416.0
3,healthy,nFeature_RNA,69007,6.0,43.0,84.0,134.0,312.0
4,healthy,nFeature_RNA,76631,3.0,13.0,41.0,99.0,271.0
5,tumor,nFeature_RNA,221554,5.0,56.0,116.0,186.0,401.0
6,tumor,nFeature_RNA,280842,6.0,72.0,133.0,204.0,409.0
1,tumor,Area.um2,140615,30.3528270217352,78.4138810571042,117.389341493975,161.298221384807,332.89557074875165
2,tumor,Area.um2,137669,29.7162567696111,77.299883115887,115.392825703222,154.845713829186,289.7743018698667
3,healthy,Area.um2,69007,31.279615438804907,77.07563677707054,114.597112888067,150.129306961175,302.34858980012007
4,healthy,Area.um2,76631,31.905190386574134,73.0753714426999,112.296779476982,161.218650103292,412.9170810425843
5,tumor,Area.um2,221554,25.1734599703619,69.4150924929863,97.8148062411589,133.954635554931,278.17353240019213
6,tumor,Area.um2,280842,24.5368897182378,68.6338471835613,95.76765418035075,130.29073972878552,260.29343141848506
1,tumor,Circularity,140615,0.6,0.85,0.93,1.0,1.09
2,tumor,Circularity,137669,0.62,0.86,0.94,1.01,1.09
3,healthy,Circularity,69007,0.64,0.89,0.97,1.03,1.1
4,healthy,Circularity,76631,0.59,0.86,0.94,0.99,1.09
5,tumor,Circularity,221554,0.6,0.81,0.87,0.94,1.09
6,tumor,Circularity,280842,0.6,0.8,0.86,0.92,1.09
1,tumor,Eccentricity,140615,0.35,0.68,0.78,0.86,0.97
2,tumor,Eccentricity,137669,0.35,0.69,0.79,0.87,0.98
3,healthy,Eccentricity,69007,0.4,0.72,0.81,0.89,0.98
4,healthy,Eccentricity,76631,0.37,0.69,0.78,0.86,0.97
5,tumor,Eccentricity,221554,0.25,0.64,0.74,0.84,0.97
6,tumor,Eccentricity,280842,0.23,0.62,0.73,0.83,0.97
1,tumor,Perimeter.um,140615,21.049165375,33.077259875,40.17383563,46.66900666,71.567162275
2,tumor,Perimeter.um,137669,20.568041595,32.836697985,39.572430905,45.22563532,64.47058652
3,healthy,Perimeter.um,69007,20.92888443,32.355574205,38.73046429,44.02282587,65.91395786
4,healthy,Perimeter.um,76631,21.6505701,31.874450425,38.850745235,46.42844477,83.71553772
5,tumor,Perimeter.um,221554,18.884108365,31.75416948,37.76821673,43.78226398,63.98946274
6,tumor,Perimeter.um,280842,18.643546475,31.75416948,37.647935785,43.661983035,61.82440573
